Feature,Importance
original_glrlm_GrayLevelVariance_LV_ED,0.0006414638961626604
original_firstorder_Kurtosis_LV_ED,0.0006372254688501963
original_glszm_ZoneEntropy_RV_ES,0.0006324766947457299
original_glszm_SmallAreaLowGrayLevelEmphasis_RV_ES,0.0006318639987964495
original_firstorder_Maximum_MYO_ED,0.0006308057120893073
original_firstorder_Skewness_MYO_ED,0.0006238217652099402
original_glrlm_LongRunHighGrayLevelEmphasis_LV_ED,0.0006225287949114663
original_glszm_LargeAreaLowGrayLevelEmphasis_LV_ES,0.000620830806549424
original_glrlm_ShortRunLowGrayLevelEmphasis_RV_ED,0.0006159875844858876
original_ngtdm_Strength_MYO_ED,0.0006134969325153377
original_firstorder_10Percentile_MYO_ED,0.0006102316826579249
original_glcm_DifferenceVariance_LV_ES,0.0006083561232500238
original_firstorder_RootMeanSquared_MYO_ED,0.0006006055025928568
original_glrlm_RunLengthNonUniformity_LV_ED,0.0005998606133014734
original_gldm_GrayLevelNonUniformity_RV_ED,0.0005978346117611511
original_glrlm_ShortRunHighGrayLevelEmphasis_RV_ED,0.000591942448926428
original_glcm_DifferenceEntropy_MYO_ES,0.0005895288448041922
original_glszm_GrayLevelNonUniformityNormalized_LV_ES,0.0005860010851871949
original_glszm_ZonePercentage_MYO_ED,0.0005803793658236804
original_glcm_ClusterProminence_LV_ES,0.0005798969072164951
original_gldm_DependenceVariance_MYO_ED,0.0005777444834338737
original_firstorder_InterquartileRange_RV_ED,0.0005740645822655048
original_glcm_DifferenceEntropy_RV_ED,0.0005735020875685837
original_glrlm_HighGrayLevelRunEmphasis_MYO_ES,0.0005634298587318719
original_glrlm_RunEntropy_RV_ES,0.0005599168008588298
original_gldm_DependenceEntropy_LV_ED,0.000550314465408805
original_glszm_ZoneVariance_RV_ED,0.0005499181669394434
original_glcm_DifferenceVariance_MYO_ES,0.0005495603517186252
original_firstorder_Maximum_LV_ED,0.0005415147969640504
original_gldm_LargeDependenceEmphasis_MYO_ES,0.0005394033943175907
original_glszm_LowGrayLevelZoneEmphasis_LV_ES,0.0005387406493304882
original_gldm_DependenceNonUniformityNormalized_MYO_ES,0.0005302037583699331
original_firstorder_RobustMeanAbsoluteDeviation_RV_ES,0.000529955512933216
original_firstorder_Range_RV_ES,0.0005202913631633716
original_glszm_GrayLevelNonUniformity_MYO_ED,0.0005179541075494833
original_glszm_SizeZoneNonUniformityNormalized_LV_ED,0.0005041152263374486
original_glcm_DifferenceAverage_LV_ES,0.0005018013381369017
original_gldm_LowGrayLevelEmphasis_LV_ES,0.0004927385892116181
original_gldm_DependenceNonUniformityNormalized_RV_ED,0.0004887020493956912
original_firstorder_Maximum_RV_ED,0.00047986289631533847
original_glcm_SumSquares_LV_ED,0.0004752832894881459
original_gldm_GrayLevelNonUniformity_MYO_ED,0.0004693140794223826
original_firstorder_Uniformity_LV_ED,0.00046642747309072274
original_glszm_SmallAreaLowGrayLevelEmphasis_RV_ED,0.00046439628482972123
original_firstorder_Minimum_RV_ES,0.0004634397528321317
original_ngtdm_Contrast_MYO_ES,0.0004598875830352579
original_glrlm_ShortRunEmphasis_RV_ES,0.00045454545454545433
original_glszm_SmallAreaHighGrayLevelEmphasis_LV_ES,0.0004460966542750929
original_gldm_DependenceEntropy_RV_ED,0.00044397463002114157
original_glcm_DifferenceVariance_RV_ES,0.000441408302679979
original_glrlm_HighGrayLevelRunEmphasis_MYO_ED,0.00043704474505723204
original_glcm_MCC_MYO_ED,0.0004347826086956521
original_glrlm_GrayLevelNonUniformityNormalized_LV_ES,0.00043254376930998976
original_glrlm_GrayLevelVariance_RV_ED,0.00042139662882696954
original_glcm_InverseVariance_MYO_ED,0.00040845435684647304
original_glcm_JointEntropy_RV_ES,0.00039847834744293013
original_ngtdm_Strength_LV_ES,0.0003795534707435791
original_glrlm_RunLengthNonUniformityNormalized_RV_ES,0.00036630036630036625
original_glrlm_ShortRunLowGrayLevelEmphasis_RV_ES,0.0003651538862806468
original_glcm_Id_LV_ES,0.00036383725657847634
original_gldm_GrayLevelVariance_MYO_ED,0.00036382536382536385
original_firstorder_Uniformity_LV_ES,0.00036243597290623223
original_glszm_SmallAreaEmphasis_RV_ES,0.0003554158607350098
original_glszm_LowGrayLevelZoneEmphasis_MYO_ES,0.0003503240497460152
original_glrlm_LongRunLowGrayLevelEmphasis_LV_ED,0.00034904013961605597
original_firstorder_Variance_RV_ES,0.0003485559823587994
original_glszm_GrayLevelVariance_RV_ES,0.0003462025903372385
original_glszm_ZoneEntropy_MYO_ED,0.0003455886623685892
original_glrlm_RunVariance_LV_ES,0.0003436742459111971
original_firstorder_Variance_LV_ED,0.0003433175687510948
original_firstorder_90Percentile_LV_ED,0.0003433175687510948
original_firstorder_Mean_MYO_ES,0.0003433160653526653
original_glrlm_LowGrayLevelRunEmphasis_RV_ED,0.00034271725826193406
original_glszm_LowGrayLevelZoneEmphasis_RV_ES,0.00034236339428850933
original_glcm_Correlation_LV_ED,0.0003420129907455309
original_firstorder_Variance_RV_ED,0.00033862229102167183
original_glcm_Imc1_LV_ED,0.0003381234150464918
original_gldm_DependenceNonUniformity_LV_ED,0.00033768504839147356
original_glcm_ClusterTendency_RV_ES,0.0003355704697986578
original_firstorder_MeanAbsoluteDeviation_LV_ED,0.0003350739773716275
original_glszm_HighGrayLevelZoneEmphasis_RV_ES,0.0003350515463917527
original_glszm_SmallAreaHighGrayLevelEmphasis_RV_ES,0.00033384694401643566
original_glcm_Contrast_LV_ED,0.00033384694401643566
original_firstorder_InterquartileRange_MYO_ES,0.0003338443195367059
original_glcm_JointAverage_RV_ED,0.0003321410321921309
original_glcm_ClusterShade_MYO_ES,0.00033178214408824543
original_gldm_LargeDependenceLowGrayLevelEmphasis_LV_ED,0.0003314393939393939
original_glrlm_ShortRunHighGrayLevelEmphasis_MYO_ES,0.00032932566649242033
original_glszm_GrayLevelNonUniformityNormalized_RV_ES,0.0003287002253944403
original_glcm_SumEntropy_LV_ED,0.0003285543608124253
original_shape_Elongation_LV_ED,0.00032836100947556063
original_glszm_SizeZoneNonUniformityNormalized_MYO_ES,0.0003282182438192668
original_firstorder_90Percentile_RV_ES,0.00032525991752337807
original_glcm_SumEntropy_RV_ES,0.00032458123224946386
original_glszm_SmallAreaLowGrayLevelEmphasis_LV_ED,0.0003235684982954873
original_glrlm_ShortRunLowGrayLevelEmphasis_LV_ES,0.0003217464213918437
original_gldm_SmallDependenceEmphasis_RV_ES,0.0003213957759412305
original_glrlm_LongRunLowGrayLevelEmphasis_RV_ED,0.0003191489361702128
original_firstorder_InterquartileRange_RV_ES,0.0003185981680605336
original_glcm_ClusterProminence_MYO_ED,0.0003185519199975829
original_firstorder_Energy_RV_ED,0.00031670113753877975
original_glszm_GrayLevelNonUniformity_LV_ED,0.00031529164477141366
original_glcm_Idn_RV_ED,0.0003152341739577973
original_glszm_SmallAreaLowGrayLevelEmphasis_MYO_ES,0.00031458654340010275
original_glcm_InverseVariance_LV_ES,0.00030753459764223484
original_glszm_SizeZoneNonUniformity_RV_ES,0.0003030303030303031
original_glcm_JointEntropy_LV_ED,0.00029739776951672863
original_glrlm_RunVariance_LV_ED,0.0002894056847545219
original_firstorder_Minimum_LV_ED,0.00028762198253723674
original_glcm_JointEntropy_RV_ED,0.00028717948717948716
original_firstorder_Entropy_RV_ED,0.00027748414376321356
original_glrlm_LongRunLowGrayLevelEmphasis_RV_ES,0.00027588018917498687
original_ngtdm_Busyness_MYO_ED,0.00027436910181807204
original_glrlm_LowGrayLevelRunEmphasis_MYO_ED,0.00027357998957790517
original_firstorder_InterquartileRange_LV_ED,0.00027173913043478256
original_firstorder_Median_RV_ES,0.00027061855670103095
original_ngtdm_Complexity_RV_ED,0.0002690927729369555
original_glrlm_RunPercentage_LV_ED,0.00026881720430107527
